,name,iata_code,iso_country,latitude,longitude
7021,Khrabrovo Airport,KGD,RU,54.88999938964844,20.59259986877441
7022,Hrodna Airport,GNA,BY,53.60200119018555,24.053800582885746
7023,Minsk National Airport,MSQ,BY,53.888071,28.039964
7024,Mogilev Airport,MVQ,BY,53.95489883422852,30.09510040283203
7025,Abakan International Airport,ABA,RU,53.740002,91.385002
7026,Barnaul Airport,BAX,RU,53.363800048828125,83.53849792480469
7027,Gorno-Altaysk Airport,RGK,RU,51.969204,85.836539
7028,Kemerovo Airport,KEJ,RU,55.27009963989258,86.1072006225586
7029,Yeniseysk Airport,EIE,RU,58.47420120239258,92.1125030517578
7030,Podkamennaya Tunguska Airport,TGP,RU,61.589699,89.994003
7031,Krasnoyarsk International Airport,KJA,RU,56.173077,92.492437
7032,Achinsk Airport,ACS,RU,56.269185,90.57511
7033,Kyzyl Airport,KYZ,RU,51.66939926147461,94.40059661865234
7034,Novosibirsk Tolmachevo Airport,OVB,RU,55.019756,82.618675
7035,Omsk Central Airport,OMS,RU,54.96699905395508,73.31050109863281
7036,Strezhevoy Airport,SWT,RU,60.709400177,77.66000366210001
7037,Bogashevo Airport,TOF,RU,56.380298614502,85.208297729492
7038,Spichenkovo Airport,NOZ,RU,53.811401,86.877197
7039,Dikson Airport,DKS,RU,73.51780700683594,80.37966918945312
7040,Khatanga Airport,HTG,RU,71.97810363769531,102.49099731445312
7041,Igarka Airport,IAA,RU,67.43720245361328,86.62190246582031
7042,Norilsk-Alykel Airport,NSK,RU,69.31109619140625,87.33219909667969
7043,Turukhansk Airport,THX,RU,65.797203064,87.9353027344
7044,Anapa Vityazevo Airport,AAQ,RU,45.002102,37.347301
7045,Yeysk Airport,EIK,RU,46.68,38.21
7046,Gelendzhik Airport,GDZ,RU,44.5820926295,38.0124807358
